function,optimiser,converged,iterations,final_value,runtime_ms,config
himmelblau,cSGD_offdiag_0_m,True,31,8.705210778067073e-07,24.0325927734375,"{'learning_rate': 0.004318238371405932, 'momentum': 0.44472852463999774, 'xi': 0.00010047939168485248, 'gamma': 0.11520937771663119, 'weight_decay': 0.007223546092522467, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
himmelblau,cSGD_fixed_rms,True,14,1.8443961147491895e-07,47.81746864318848,"{'learning_rate': 0.4377341892248992, 'momentum': 0.09542975338769408, 'xi': 0.002912603318649452, 'beta': 0.0, 'beta_rms': 0.8942374544186891, 'eps': 6.95529652582358e-10}"
himmelblau,cSGD_learn_diag_log,True,632,9.902487762071783e-07,85.63733100891113,"{'learning_rate': 0.011082796318158627, 'momentum': 0.8574405299240563, 'xi': 0.014379973525359295, 'beta': 0.7291637941175897, 'metric_lr': 0.012501146562210765, 'metric_reg': 4.413284282221958e-05, 'metric_clip': 2.709945816361072}"
himmelblau,cSGD_offdiag_m_theta,True,55,4.671974035565299e-07,37.61935234069824,"{'learning_rate': 0.0174543585014485, 'momentum': 0.2037128167348277, 'xi': 0.001937358424604654, 'gamma': 1.213417111261104, 'weight_decay': 0.002090842029449008, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
himmelblau,cSGD_offdiag_theta_m,True,34,3.308422039327543e-07,24.667024612426758,"{'learning_rate': 0.2110566329927123, 'momentum': 0.5861887769042334, 'xi': 0.00014631009468640374, 'gamma': 2.6187197301337477, 'weight_decay': 0.0015446349902429558, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_theta_0,True,532,1.859239517898459e-08,373.84629249572754,"{'learning_rate': 0.05417246040464687, 'momentum': 0.7108481115040032, 'xi': 0.40746954393513923, 'gamma': 0.00037167609755633447, 'weight_decay': 0.002379033316078939, 'base_mode': 'grad', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_m_l,False,1000,9.439951883649655e-05,633.2130432128906,"{'learning_rate': 0.0009368224516709616, 'momentum': 0.6532884795843106, 'xi': 0.03413622683845044, 'gamma': 0.00010404819441550738, 'weight_decay': 0.0017687201568331646, 'base_mode': 'grad', 'use_momentum_for_update': True}"
ackley,cSGD_offdiag_m_0,False,1000,0.0009782752441580556,677.2024631500244,"{'learning_rate': 0.5237701582894718, 'momentum': 0.24745184473408302, 'xi': 4.44114946043018, 'gamma': 0.00024033195038321195, 'weight_decay': 0.002092030547807432, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
ackley,cSGD_fixed_log,False,1000,6.559645375627877,92.53811836242676,"{'learning_rate': 0.010218612646477807, 'momentum': 0.8113007285321918, 'xi': 0.0202747525430573, 'beta': 0.0}"
ackley,cSGD_learn_scalar,False,1000,0.020370220592102584,97.52368927001953,"{'learning_rate': 0.22626805600713804, 'momentum': 0.950683847542657, 'xi': 3.5622710980611125, 'beta': 0.5366060269304355, 'metric_lr': 0.3285984040349952, 'metric_reg': 5.51141290137553e-06, 'metric_clip': 3.683331892135532}"
ackley,cSGD_offdiag_m_m,False,1000,0.0008187886475212736,642.9455280303955,"{'learning_rate': 0.0013579556191908831, 'momentum': 0.30662384221593425, 'xi': 0.014979629577065638, 'gamma': 0.00045118180789709627, 'weight_decay': 0.0018318771291954195, 'base_mode': 'grad', 'use_momentum_for_update': True}"
ackley,cSGD_learn_diag,False,1000,0.007814506148026368,414.0737056732178,"{'learning_rate': 0.4586388322248347, 'momentum': 0.8150040748189625, 'xi': 0.15938771000815283, 'beta': 0.5867890918925613, 'metric_lr': 5.510154308593669e-05, 'metric_reg': 0.0001976685977878406, 'metric_clip': 2.4660574147427057}"
ackley,cSGD_learn_scalar_log,True,15,2.458757037970827e-07,46.81038856506348,"{'learning_rate': 3.356357301094075, 'momentum': 0.6592876944196596, 'xi': 1.95267458578768, 'beta': 0.5065077896947042, 'metric_lr': 0.0051295172235406306, 'metric_reg': 6.890518610284305e-05, 'metric_clip': 2.995871776883172}"
ackley,cSGD_offdiag_l_l,False,1000,0.000462833839229404,661.1483097076416,"{'learning_rate': 0.08951747540257746, 'momentum': 0.2690698309137099, 'xi': 0.05339850824021691, 'gamma': 0.0001620659685936504, 'weight_decay': 0.005961714317287904, 'base_mode': 'grad', 'use_momentum_for_update': True}"
ackley,Muon,False,1000,0.03238551656117039,818.6166286468506,"{'learning_rate': 0.3409865029630271, 'adam_b1': 0.971027553638026, 'adam_b2': 0.9638105511362736, 'eps': 7.577580859048595e-07, 'beta': 0.737122673704037}"
ackley,cSGD_offdiag_theta_l,True,529,6.650810071562319e-07,330.68013191223145,"{'learning_rate': 0.07644215394653028, 'momentum': 0.16032522401685076, 'xi': 1.7501175440786403, 'gamma': 0.04802333885457161, 'weight_decay': 0.007844464942605649, 'base_mode': 'grad', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_0_theta,True,746,5.979131145750216e-08,581.049919128418,"{'learning_rate': 0.020090951854905316, 'momentum': 0.13843042567972208, 'xi': 0.9986422515669728, 'gamma': 0.0005756067798784251, 'weight_decay': 0.005322576720767052, 'base_mode': 'grad', 'use_momentum_for_update': True}"
ackley,cSGD_offdiag_l_m,True,463,9.60855643938885e-07,329.85973358154297,"{'learning_rate': 8.063905290963907, 'momentum': 0.17989437170125744, 'xi': 3.725946733331348, 'gamma': 0.060485080357744844, 'weight_decay': 0.002983436277472803, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
ackley,SGD,False,1000,0.08595335135825621,68.20344924926758,"{'learning_rate': 0.24431031579529824, 'momentum': 0.1285051111317651}"
ackley,cSGD_offdiag_theta_theta,False,1000,0.00011304374982046284,627.1336078643799,"{'learning_rate': 0.0596427602586084, 'momentum': 0.46569939751467926, 'xi': 4.817490367955515, 'gamma': 0.5165111781310486, 'weight_decay': 0.004106956938734747, 'base_mode': 'grad', 'use_momentum_for_update': False}"
ackley,cSGD_offdiag_l_theta,True,364,3.858246024890377e-07,231.89425468444824,"{'learning_rate': 0.11726477468160564, 'momentum': 0.5185819287369449, 'xi': 1.5385082236028143, 'gamma': 0.00047889466424882614, 'weight_decay': 0.006441883695041867, 'base_mode': 'grad', 'use_momentum_for_update': True}"
ackley,cSGD_offdiag_l_0,True,867,6.439395399127079e-07,617.6693439483643,"{'learning_rate': 0.23851362601879766, 'momentum': 0.2573796261266045, 'xi': 5.353183028656657, 'gamma': 0.00017533758494573849, 'weight_decay': 0.003802746426131615, 'base_mode': 'grad', 'use_momentum_for_update': True}"
ackley,cSGD_offdiag_0_l,True,982,6.03988006275813e-07,910.1498126983643,"{'learning_rate': 0.40499226849446324, 'momentum': 0.7215334404745256, 'xi': 0.18567906897057299, 'gamma': 0.012808369479004595, 'weight_decay': 0.006471711868392144, 'base_mode': 'grad', 'use_momentum_for_update': False}"
ackley,cSGD_fixed,False,1000,0.0021238447284588347,95.57032585144043,"{'learning_rate': 0.14613040430159646, 'momentum': 0.8552334758365142, 'xi': 4.765356672443088, 'beta': 0.0}"
ackley,Adam,False,1000,0.02312793460904672,332.8981399536133,"{'learning_rate': 0.33984965874062223, 'b1': 0.981604049375903, 'b2': 0.9063916668424772, 'eps': 2.160152461514995e-10}"
